"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"27","PB1","I/O","","","","TIM1_CH3N","TIM3_CH4","TIM8_CH3N","SPI3_SCK","I2S2_WS/SPI2_NSS","OCTOSPI1_IO0","USART3_RX","","","","","","","","EVENTOUT"
"28","PB2","I/O","","","RTC_OUT2","","","TIM8_CH4N","SPI1_RDY","LPTIM1_CH1","I2S2_CK/SPI2_SCK","I2S3_SDO/SPI3_MOSI","","OCTOSPI1_CLK","OCTOSPI1_DQS","","SDMMC1_CMD","","","EVENTOUT"
"29","PB10","I/O","","","","TIM2_CH3","TIM8_CH1","LPTIM2_IN1","I2C2_SCL","I2S2_CK/SPI2_SCK","","USART3_TX","","OCTOSPI1_NCS","","","","","","EVENTOUT"
"30","VCAP","Power","","","","","","","","","","","","","","","","","",""
"31","VSS","Power","","","","","","","","","","","","","","","","","",""
"32","VDD","Power","","","","","","","","","","","","","","","","","",""
"33","PB12","I/O","","","","TIM1_BKIN","TIM8_CH3","OCTOSPI1_NCLK","I2C2_SDA","I2S2_WS/SPI2_NSS","UCPD1_FRSTX","USART3_CK","","FDCAN2_RX","","","","","UART5_RX","EVENTOUT"
"34","PB13","I/O","","","","TIM1_CH1N","TIM8_CH2","LPTIM2_CH1","I2C2_SMBA","I2S2_CK/SPI2_SCK","","USART3_CTS/USART3_NSS","LPUART1_RX","FDCAN2_TX","","","SDMMC1_D0","","UART5_TX","EVENTOUT"
"35","PB14","I/O","","","","TIM1_CH2N","TIM12_CH1","TIM8_CH2N","USART1_TX","I2S2_SDI/SPI2_MISO","","USART3_DE/USART3_RTS","UART4_DE/UART4_RTS","","","","","","","EVENTOUT"
"36","PB15","I/O","","","RTC_REFIN","TIM1_CH3N","TIM12_CH2","TIM8_CH3N","USART1_RX","I2S2_SDO/SPI2_MOSI","I2S1_SDO/SPI1_MOSI","","UART4_CTS","","OCTOSPI1_CLK","","","DCMI_D2/PSSI_D2","UART5_RX","EVENTOUT"
"37","PC6","I/O","","","","","TIM3_CH1","TIM8_CH1","","I2S2_MCK","","USART6_TX","SDMMC1_D0DIR","","I3C2_SCL","OCTOSPI1_IO5","SDMMC1_D6","DCMI_D0/PSSI_D0","","EVENTOUT"
"38","PC7","I/O","","","","","TIM3_CH2","TIM8_CH2","","","I2S3_MCK","USART6_RX","SDMMC1_D123DIR","","I3C2_SDA","OCTOSPI1_IO6","SDMMC1_D7","DCMI_D1/PSSI_D1","","EVENTOUT"
"39","PC8","I/O","","","DEBUG_TRACED1","","TIM3_CH3","TIM8_CH3","","","","USART6_CK","UART5_DE/UART5_RTS","","","","SDMMC1_D0","DCMI_D2/PSSI_D2","","EVENTOUT"
"40","PC9","I/O","","","RCC_MCO_2","","TIM3_CH4","TIM8_CH4","I2C3_SDA","AUDIOCLK","","","UART5_CTS","OCTOSPI1_IO0","","","SDMMC1_D1","DCMI_D3/PSSI_D3","","EVENTOUT"
"41","PA8","I/O","","","RCC_MCO_1","TIM1_CH1","","TIM8_BKIN2","I2C3_SCL","SPI1_RDY","SPI4_MOSI","USART1_CK","","I3C2_SCL","USB_SOF","","","DCMI_D3/PSSI_D3","","EVENTOUT"
"42","PA9","I/O","","","","TIM1_CH2","","LPUART1_TX","I2C3_SMBA","I2S2_CK/SPI2_SCK","","USART1_TX","","","","","","DCMI_D0/PSSI_D0","","EVENTOUT"
"43","PA10","I/O","","","","TIM1_CH3","","LPUART1_RX","LPTIM2_IN2","","UCPD1_FRSTX","USART1_RX","","FDCAN2_TX","","","SDMMC1_D0","DCMI_D1/PSSI_D1","","EVENTOUT"
"44","PA11","I/O","","","","TIM1_CH4","","LPUART1_CTS","","I2S2_WS/SPI2_NSS","UART4_RX","USART1_CTS/USART1_NSS","","FDCAN1_RX","USB_DM","","","","","EVENTOUT"
"45","PA12","I/O","","","","TIM1_ETR","","LPUART1_DE/LPUART1_RTS","","I2S2_CK/SPI2_SCK","UART4_TX","USART1_DE/USART1_RTS","","FDCAN1_TX","USB_DP","","","","","EVENTOUT"
"46","PA13(JTMS/SWDIO)","I/O","","","DEBUG_JTMS-SWDIO","","","","","","","","","","","","","","","EVENTOUT"
"47","VSS","Power","","","","","","","","","","","","","","","","","",""
"48","VDD","Power","","","","","","","","","","","","","","","","","",""
"49","PA14(JTCK/SWCLK)","I/O","","","DEBUG_JTCK-SWCLK","","","","","","","","","","","","","","","EVENTOUT"
"50","PA15(JTDI)","I/O","","","DEBUG_JTDI","TIM2_CH1","","","CEC","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","USART1_TX","UART4_DE/UART4_RTS","OCTOSPI1_NCS","","","","DCMI_D11/PSSI_D11","TIM2_ETR","EVENTOUT"
"51","PC10","I/O","","","","","","I3C2_SCL","","","I2S3_CK/SPI3_SCK","USART3_TX","UART4_TX","OCTOSPI1_IO1","","","SDMMC1_D2","DCMI_D8/PSSI_D8","","EVENTOUT"
"52","PC11","I/O","","","","","","I3C2_SDA","","","I2S3_SDI/SPI3_MISO","USART3_RX","UART4_RX","OCTOSPI1_NCS","","","SDMMC1_D3","DCMI_D4/PSSI_D4","","EVENTOUT"
"53","PC12","I/O","","","DEBUG_TRACED3","","TIM15_CH1","LPTIM2_CH2","","","I2S3_SDO/SPI3_MOSI","USART3_CK","UART5_TX","","","","SDMMC1_CK","DCMI_D9/PSSI_D9","","EVENTOUT"
"54","PD2","I/O","","","DEBUG_TRACED2","","TIM3_ETR","","TIM15_BKIN","","","","UART5_RX","","","","SDMMC1_CMD","DCMI_D11/PSSI_D11","","EVENTOUT"
"55","PB3(JTDO/TRACESWO)","I/O","","","DEBUG_JTDO-SWO","TIM2_CH2","","I3C2_SCL","I2C2_SDA","I2S1_CK/SPI1_SCK","I2S3_CK/SPI3_SCK","","LPUART1_TX","FDCAN2_TX","CRS_SYNC","","","","UART5_TX","EVENTOUT"
"56","PB4(NJTRST)","I/O","","","DEBUG_NJTRST","","TIM3_CH1","OCTOSPI1_CLK","LPTIM1_CH2","I2S1_SDI/SPI1_MISO","I2S3_SDI/SPI3_MISO","I2S2_WS/SPI2_NSS","","I2C3_SDA","I3C2_SDA","","","DCMI_D7/PSSI_D7","","EVENTOUT"
"57","PB5","I/O","","","","","TIM3_CH2","OCTOSPI1_NCLK","I2C1_SMBA","I2S1_SDO/SPI1_MOSI","USART6_TX","I2S3_SDO/SPI3_MOSI","","FDCAN2_RX","I3C2_SCL","","","DCMI_D10/PSSI_D10","UART5_RX","EVENTOUT"
"58","PB6","I/O","","","","","TIM4_CH1","I3C1_SCL","I2C1_SCL","CEC","USART6_RX","USART1_TX","LPUART1_TX","FDCAN2_TX","OCTOSPI1_NCS","","","DCMI_D5/PSSI_D5","UART5_TX","EVENTOUT"
"59","PB7","I/O","","","","","TIM4_CH2","I3C1_SDA","I2C1_SDA","SPI4_MISO","USART6_CTS/USART6_NSS","USART1_RX","LPUART1_RX","FDCAN1_TX","","","","DCMI_VSYNC/PSSI_RDY","","EVENTOUT"
"60","BOOT0","Boot","","","","","","","","","","","","","","","","","",""
"61","PB8","I/O","","","","","TIM4_CH3","I3C1_SCL","I2C1_SCL","SPI4_RDY","I2S3_WS/SPI3_NSS","SDMMC1_CKIN","UART4_RX","FDCAN1_RX","","","SDMMC1_D4","DCMI_D6/PSSI_D6","","EVENTOUT"
"62","VCAP","Power","","","","","","","","","","","","","","","","","",""
"63","VSS","Power","","","","","","","","","","","","","","","","","",""
"64","VDD","Power","","","","","","","","","","","","","","","","","",""
